名稱,説明,修改者
開學日,id_pw 和 AppScript 會讀取此欄位判斷文件是否完成上傳（賬戶與居留證開學後才會變成必繳）,"工程師, 老師"
大頭照文件夾ID,老師需要將學生證頭像獨立一個文件夾出來方便下載及辨識,"InitialSystem, 工程師"
